,birthYear,deathYear
"Beethoven,  Ludwig  van",1770.0,1827.0
"Wagner,  Richard",1813.0,1883.0
"Tchaikovsky,  Pyotr  Ilyich",1840.0,1893.0
"Mozart,  Wolfgang  Amadeus",1756.0,1791.0
"Brahms,  Johannes",1833.0,1897.0
"Strauss,  Richard",1864.0,1949.0
"Bach,  Johann  Sebastian",1685.0,1750.0
"Mendelssohn,  Felix",1809.0,1847.0
"Dvorak,  Antonín",1841.0,1904.0
"Schubert,  Franz",1797.0,1828.0
"Ravel,  Maurice",1875.0,1937.0
"Berlioz,  Hector",1803.0,1869.0
"Liszt,  Franz",1811.0,1886.0
"Traditional,",0.0,9999.0
"Stravinsky,  Igor",1882.0,1971.0
"Debussy,  Claude",1862.0,1918.0
"Weber,  Carl  Maria Von",1786.0,1826.0
"Schumann,  Robert",1810.0,1856.0
"Strauss,  Johann, II",,
"Haydn,  Franz  Joseph",1732.0,1809.0
"Gershwin,  George",1898.0,1937.0
"Prokofiev,  Sergei",1891.0,1953.0
"Saint-Saens [Saint-Saëns],  Camille",1835.0,1921.0
"Anthem,",0.0,9999.0
"Rimsky-Korsakov,  Nikolai",1844.0,1908.0
"Sibelius,  Jean",1865.0,1957.0
"Copland,  Aaron",1900.0,1990.0
"Mahler,  Gustav",1860.0,1911.0
"Rachmaninoff,  Sergei",1873.0,1943.0
"Bernstein,  Leonard",1918.0,1990.0
"Rossini,  Gioachino",1792.0,1868.0
"Verdi,  Giuseppe",1813.0,1901.0
"Handel,  George  Frideric",1685.0,1759.0
"Bizet,  Georges",1838.0,1875.0
"Shostakovich,  Dmitri",1906.0,1975.0
"Chopin,  Frédéric",1810.0,1849.0
"Musorgsky,  Modest",1839.0,1881.0
"Grieg,  Edvard",1843.0,1907.0
"Bartok [Bartók],  Béla",1881.0,1945.0
"Franck,  César",1822.0,1890.0
"Smetana,  Bedrich",1824.0,1884.0
"Barber,  Samuel",1910.0,1981.0
"Sousa,  John  Philip",1854.0,1932.0
"Falla,  Manuel  de",1876.0,1946.0
"Elgar,  Sir  Edward",1857.0,1934.0
"Bruckner,  Anton",1824.0,1824.0
"Respighi,  Ottorino",1879.0,1936.0
"Rodgers,  Richard",1902.0,1979.0
"Bruch,  Max",1838.0,1920.0
"Puccini,  Giacomo",1858.0,1924.0
"Dukas,  Paul",1865.0,1935.0
"Ives,  Charles",1874.0,1954.0
"Vivaldi,  Antonio",1678.0,1741.0
"Borodin,  Alexander",1833.0,1887.0
"Gluck,  Christoph  Willibald",1714.0,1787.0
"Lalo,  Edouard",1823.0,1892.0
"Chabrier,  Emmanuel",1841.0,1894.0
"Goldmark,  Karl",1830.0,1915.0
"Hindemith,  Paul",1895.0,1963.0
"Glinka,  Mikhail",1804.0,1857.0
"Schuman,  William",1910.0,1992.0
"Hadley,  Henry  Kimball",1871.0,1937.0
"Vaughan Williams,  Ralph",1872.0,1958.0
"Britten,  Benjamin",1913.0,1976.0
"Massenet,  Jules",1842.0,1912.0
"Gounod,  Charles",1818.0,1893.0
"Rubinstein,  Anton",1829.0,1894.0
"Kodaly [Kodály],  Zoltán",1882.0,1967.0
"Glazunov,  Alexander",1865.0,1936.0
"Schoenberg,  Arnold",1874.0,1951.0
"Lehar [Lehár],  Franz",1870.0,1948.0
"Webern,  Anton  von",1883.0,1945.0
"Ellington,  Duke",1899.0,1974.0
