composerName,birthYear,deathYear,nationality
"Beethoven,  Ludwig  van",1770,1827,Austro-German
"Wagner,  Richard",1813,1883,Austro-German
"Tchaikovsky,  Pyotr  Ilyich",1840,1893,English
"Mozart,  Wolfgang  Amadeus",1756,1791,Austro-German
"Brahms,  Johannes",1833,1897,Austro-German
"Strauss,  Richard",1864,1949,Austro-German
"Bach,  Johann  Sebastian",1685,1750,Austro-German
"Mendelssohn,  Felix",1809,1847,Austro-German
"Dvorak,  Antonín",1841,1904,Czech
"Schubert,  Franz",1797,1828,Austro-German
"Ravel,  Maurice",1875,1937,French
"Berlioz,  Hector",1803,1869,French
"Liszt,  Franz",1811,1886,Austro-German
"Traditional,",0,9999,
"Stravinsky,  Igor",1882,1971,Russian
"Debussy,  Claude",1862,1918,French
"Weber,  Carl  Maria Von",1786,1826,Austro-German
"Schumann,  Robert",1810,1856,Austro-German
"Strauss,  Johann, II",,,Austro-German
"Haydn,  Franz  Joseph",1732,1809,Austro-German
"Gershwin,  George",1898,1937,North American
"Prokofiev,  Sergei",1891,1953,Russian
"Saint-Saens [Saint-Saëns],  Camille",1835,1921,French
"Anthem,",0,9999,
"Rimsky-Korsakov,  Nikolai",1844,1908,Russian
"Sibelius,  Jean",1865,1957,Nordic
"Copland,  Aaron",1900,1990,North American
"Mahler,  Gustav",1860,1911,Austro-German
"Rachmaninoff,  Sergei",1873,1943,English
"Bernstein,  Leonard",1918,1990,North American
"Rossini,  Gioachino",1792,1868,Italian
"Verdi,  Giuseppe",1813,1901,Italian
"Handel,  George  Frideric",1685,1759,Austro-German
"Bizet,  Georges",1838,1875,French
"Shostakovich,  Dmitri",1906,1975,Russian
"Chopin,  Frédéric",1810,1849,Polish
"Musorgsky,  Modest",1839,1881,Russian
"Grieg,  Edvard",1843,1907,Nordic
"Bartok [Bartók],  Béla",1881,1945,Hungarian
"Franck,  César",1822,1890,French
"Smetana,  Bedrich",1824,1884,Czech
"Barber,  Samuel",1910,1981,North American
"Sousa,  John  Philip",1854,1932,American
"Falla,  Manuel  de",1876,1946,Spanish
"Elgar,  Sir  Edward",1857,1934,English
"Bruckner,  Anton",1824,1824,Austro-German
"Respighi,  Ottorino",1879,1936,Italian
"Rodgers,  Richard",1902,1979,North American
"Bruch,  Max",1838,1920,Austro-German
"Puccini,  Giacomo",1858,1924,Italian
"Dukas,  Paul",1865,1935,French
"Ives,  Charles",1874,1954,North American
"Vivaldi,  Antonio",1678,1741,Italian
"Borodin,  Alexander",1833,1887,Russian
"Gluck,  Christoph  Willibald",1714,1787,Italian
"Lalo,  Edouard",1823,1892,French
"Chabrier,  Emmanuel",1841,1894,French
"Goldmark,  Karl",1830,1915,Hungarian
"Hindemith,  Paul",1895,1963,Austro-German
"Glinka,  Mikhail",1804,1857,Russian
"Schuman,  William",1910,1992,North American
"Hadley,  Henry  Kimball",1871,1937,North American
"Vaughan Williams,  Ralph",1872,1958,English
"Britten,  Benjamin",1913,1976,English
"Massenet,  Jules",1842,1912,French
"Gounod,  Charles",1818,1893,French
"Rubinstein,  Anton",1829,1894,Russian
"Kodaly [Kodály],  Zoltán",1882,1967,Hungarian
"Glazunov,  Alexander",1865,1936,Russian
"Schoenberg,  Arnold",1874,1951,Austro-German
"Lehar [Lehár],  Franz",1870,1948,Hungarian
"Webern,  Anton  von",1883,1945,Austro-German
"Ellington,  Duke",1899,1974,North American
"Kern,  Jerome",1885,1945,North American
"Unspecified,",,,NOT FOUND
"Delius,  Frederick",1862,1934,English
"Harris,  Roy",1898,1979,North American
"Khachaturian,  Aram",1903,1978,Russian
"Walton,  William",1902,1983,English
"Herbert,  Victor",1859,1924,American
"Albeniz [Albéniz],  Isaac",1860,1909,Spanish
"Lyadov,  Anatoli",,,NOT FOUND
"Gould,  Morton",1913,1996,North American
"Faure [Fauré],  Gabriel-Urbain",,,French
"Berg,  Alban",1885,1935,Austro-German
"Villa-Lobos,  Heitor",1887,1959,North American
"Offenbach,  Jacques",1819,1880,French
"Ippolitov-Ivanov,  Mikhail",1859,1935,Russian
"MacDowell,  Edward  A.",1860,1908,North American
"Paganini,  Nicolò",1782,1840,Italian
"Schelling,  Ernest",1876,1939,North American
"Humperdinck,  Engelbert",1854,1921,Austro-German
"Donizetti,  Gaetano",1797,1848,Italian
"Bloch,  Ernest",1880,1959,North American
"Honegger,  Arthur",1892,1955,French
"Purcell,  Henry",1659,1695,English
"Kabalevsky,  Dmitri",1904,1987,Russian
"Cherubini,  Luigi",1760,1842,Italian
"Chausson,  Ernest",1855,1899,French
"Grainger,  Percy",1882,1961,English
"Milhaud,  Darius",1892,1974,French
"Thomas,  Ambroise",1811,1896,French
"Weill,  Kurt",1900,1950,Austro-German
"Williams,  John",1932,2005,North American
"Wolf,  Hugo",1860,1903,Austro-German
"Delibes,  Léo",1836,1891,French
"Poulenc,  Francis",1899,1963,French
"Indy,  Vincent  d'",1851,1931,French
"Enesco,  Georges",1881,1955,Romanian
"Weinberger,  Jaromir",1896,1967,North American
"Moszkowski,  Moritz",1854,1925,Polish
"Romberg,  Sigmund",1887,1951,American
"Scriabin,  Alexander",1872,1871,Russian
"Charpentier,  Gustave",1860,1956,French
"Pollack,  Lew",1895,1946,North American
"Adams,  John",1735,1826,North American
"Spohr,  Louis",1784,1859,Austro-German
"Reger,  Max",1873,1916,Austro-German
"Menotti,  Gian  Carlo",1911,2007,North American
"Kreisler,  Fritz",1875,1962,Austro-German
"Nielsen,  Carl",1865,1931,Danish
"Raff,  Joachim",1822,1882,Austro-German
"Roussel,  Albert",1869,1937,French
"Vieuxtemps,  Henri",1820,1881,French
"Anderson,  Leroy",1908,1975,North American
"Ibert,  Jacques",1890,1962,French
"Boccherini,  Luigi",1743,1805,Italian
"Sullivan,  Sir  Arthur  Seymour",1842,1900,English
"Sondheim,  Stephen",1930,1962,North American
"Meyerbeer,  Giacomo",1791,1864,Austro-German
"Porter,  Cole",1891,1964,North American
"Ligeti,  György",1923,2006,Austro-German
"Dohnanyi,  Erno  von",1877,1960,Austro-German
"Gabrieli,  Giovanni",1554,1557,Italian
"Taylor,  Deems",1885,1966,North American
