,0
1842,1.0
1843,0.0
1844,0.0
1845,0.0
1846,1.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,1.0
1855,0.0
1856,1.0
1857,1.5
1858,1.0
1859,1.0
1860,0.0
1861,1.0
1862,1.0
1863,1.0
1864,1.0
1865,0.0
1866,1.5
1867,0.0
1868,1.0
1869,1.0
1870,1.0
1871,1.0
1872,1.0
1873,1.0
1874,0.0
1875,1.0
1876,1.0
1877,1.0
1878,1.0
1879,1.0
1880,1.0
1881,1.0
1882,0.5
1883,1.0
1884,1.0
1885,1.0
1886,1.0
1887,1.0
1888,1.0
1889,1.0
1890,0.0
1891,1.0
1892,0.5
1893,0.0
1894,0.5
1895,0.5
1896,0.5
1897,0.5
1898,0.0
1899,0.5
1900,0.5
1901,1.0
1902,0.0
1903,0.5
1904,1.0
1905,0.5
1906,0.5
1907,1.0
1908,0.0
1909,0.5
1910,0.5
1911,0.5
1912,0.5
1913,0.5
1914,0.5
1915,0.5
1916,0.5
1917,0.5
1918,0.0
1919,0.5
1920,0.5
1921,0.5
1922,0.5
1923,0.5
1924,0.5
1925,0.5
1926,0.5
1927,0.5
1928,0.5
1929,0.5
1930,0.5
1931,0.5
1932,0.5
1933,1.0
1934,0.5
1935,1.0
1936,0.5
1937,0.5
1938,1.0
1939,1.0
1940,0.5
1941,1.0
1942,1.0
1943,1.0
1944,1.0
1945,0.0
1946,0.5
1947,1.0
1948,1.0
1949,1.0
1950,1.0
1951,1.0
1952,1.0
1953,1.0
1954,0.0
1955,1.5
1956,1.0
1957,0.0
1958,1.0
1959,1.0
1960,1.0
1961,0.0
1962,1.0
1963,1.0
1964,0.0
1965,1.5
1966,1.0
1967,1.0
1968,0.0
1969,1.5
1970,1.0
1971,0.0
1972,0.0
1973,1.5
1974,0.0
1975,0.0
1976,0.0
1977,1.0
1978,0.0
1979,1.0
1980,1.5
1981,1.5
1982,1.5
1983,1.0
1984,0.0
1985,0.0
1986,1.5
1987,0.0
1988,0.0
1989,1.0
1990,1.5
1991,1.5
1992,0.0
1993,1.0
1994,0.0
1995,1.0
1996,0.0
1997,0.0
1998,1.0
1999,0.0
2000,0.0
2001,1.0
2002,1.0
2003,1.0
2004,0.0
2005,1.5
2006,0.0
2007,0.0
2008,0.0
2009,0.0
2010,1.0
2011,0.0
2012,0.0
2013,0.0
2014,1.5
2015,0.0
2016,0.0
