,0
1842,0.4827586206896552
1843,0.42105263157894735
1844,0.5217391304347826
1845,0.6551724137931034
1846,0.6086956521739131
1847,0.56
1848,0.6842105263157895
1849,0.75
1850,0.5555555555555556
1851,0.48
1852,0.64
1853,0.64
1854,0.41935483870967744
1855,0.45454545454545453
1856,0.48
1857,0.5
1858,0.5277777777777778
1859,0.4
1860,0.6136363636363636
1861,0.43333333333333335
1862,0.38235294117647056
1863,0.45454545454545453
1864,0.32142857142857145
1865,0.3076923076923077
1866,0.38235294117647056
1867,0.24
1868,0.3
1869,0.40625
1870,0.42857142857142855
1871,0.28125
1872,0.4230769230769231
1873,0.3939393939393939
1874,0.32432432432432434
1875,0.3448275862068966
1876,0.3333333333333333
1877,0.48
1878,0.3723404255319149
1879,0.42424242424242425
1880,0.3469387755102041
1881,0.3333333333333333
1882,0.5
1883,0.37254901960784315
1884,0.4745762711864407
1885,0.4666666666666667
1886,0.5
1887,0.5076923076923077
1888,0.35294117647058826
1889,0.3770491803278688
1890,0.48717948717948717
1891,0.3424657534246575
1892,0.4342105263157895
1893,0.42857142857142855
1894,0.421875
1895,0.3088235294117647
1896,0.3782051282051282
1897,0.42028985507246375
1898,0.2676056338028169
1899,0.2823529411764706
1900,0.3416370106761566
1901,0.29545454545454547
1902,0.27692307692307694
1903,0.23195876288659795
1904,0.263681592039801
1905,0.3333333333333333
1906,0.34459459459459457
1907,0.24615384615384617
1908,0.13756613756613756
1909,0.2558922558922559
1910,0.23646723646723647
1911,0.271889400921659
1912,0.3037974683544304
1913,0.3018867924528302
1914,0.22602739726027396
1915,0.2470997679814385
1916,0.2431561996779388
1917,0.35221238938053095
1918,0.3703125
1919,0.34512195121951217
1920,0.25626204238921
1921,0.2682291666666667
1922,0.2699468085106383
1923,0.24594594594594596
1924,0.2954822954822955
1925,0.2993377483443709
1926,0.2871536523929471
1927,0.25240384615384615
1928,0.29464285714285715
1929,0.28075253256150506
1930,0.3212520593080725
1931,0.2709677419354839
1932,0.2943089430894309
1933,0.2359081419624217
1934,0.25663716814159293
1935,0.27032136105860116
1936,0.33693693693693694
1937,0.3265940902021773
1938,0.2753846153846154
1939,0.3395931142410016
1940,0.31398809523809523
1941,0.2943327239488117
1942,0.3708609271523179
1943,0.3123076923076923
1944,0.3442389758179232
1945,0.3699596774193548
1946,0.3293963254593176
1947,0.29434697855750486
1948,0.3273809523809524
1949,0.334525939177102
1950,0.25871559633027524
1951,0.24521072796934865
1952,0.2504378283712785
1953,0.2621359223300971
1954,0.2789317507418398
1955,0.2804878048780488
1956,0.28619528619528617
1957,0.36522911051212936
1958,0.3383742911153119
1959,0.3304221251819505
1960,0.36271186440677966
1961,0.22131147540983606
1962,0.2626728110599078
1963,0.29219143576826195
1964,0.2098092643051771
1965,0.2900552486187845
1966,0.23745819397993312
1967,0.29528535980148884
1968,0.20535714285714285
1969,0.19745222929936307
1970,0.20577617328519857
1971,0.14857142857142858
1972,0.23728813559322035
1973,0.19020172910662825
1974,0.19948186528497408
1975,0.3557692307692308
1976,0.2446236559139785
1977,0.13793103448275862
1978,0.15284974093264247
1979,0.09061488673139159
1980,0.12944983818770225
1981,0.08823529411764706
1982,0.1239193083573487
1983,0.20114942528735633
1984,0.12869198312236288
1985,0.3198757763975155
1986,0.14
1987,0.13190184049079753
1988,0.11607142857142858
1989,0.1875
1990,0.2206703910614525
1991,0.05909090909090909
1992,0.17475728155339806
1993,0.07641196013289037
1994,0.10855263157894737
1995,0.13774104683195593
1996,0.10810810810810811
1997,0.16058394160583941
1998,0.10846560846560846
1999,0.19939577039274925
2000,0.10158730158730159
2001,0.10497237569060773
2002,0.11038961038961038
2003,0.09761904761904762
2004,0.10981308411214953
2005,0.102803738317757
2006,0.09461663947797716
2007,0.13787085514834205
2008,0.08838821490467938
2009,0.08179012345679013
2010,0.11173184357541899
2011,0.1088560885608856
2012,0.16764132553606237
2013,0.21320754716981133
2014,0.1384335154826958
2015,0.17092651757188498
2016,0.12568306010928962
