,composerName,season,living
0,"Beethoven,  Ludwig  van",1842-43,N
1,"Weber,  Carl  Maria Von",1842-43,N
2,"Hummel,  Johann",1842-43,Y
3,"Rossini,  Gioachino",1842-43,Y
4,"Beethoven,  Ludwig  van",1842-43,N
5,"Mozart,  Wolfgang  Amadeus",1842-43,N
6,"Kalliwoda,  Johann  W.",1842-43,
7,"Beethoven,  Ludwig  van",1842-43,N
8,"Bellini,  Vincenzo",1842-43,N
9,"Romberg,  Bernhard",1842-43,Y
10,"Rossini,  Gioachino",1842-43,Y
11,"Rossini,  Gioachino",1842-43,Y
12,"Hummel,  Johann",1842-43,Y
13,"Weber,  Carl  Maria Von",1842-43,N
14,"Beethoven,  Ludwig  van",1842-43,N
15,"Weber,  Carl  Maria Von",1842-43,N
16,"Hummel,  Johann",1842-43,Y
17,"Pacini,  Giovanni",1842-43,Y
18,"Romberg,  Bernhard",1842-43,Y
19,"Onslow,  George",1842-43,N
20,"Rossini,  Gioachino",1842-43,Y
21,"Thalberg,  Sigismond",1842-43,Y
22,"Mozart,  Wolfgang  Amadeus",1842-43,N
23,"Herz,  Henri",1842-43,Y
24,"Lindpaintner,  Peter  Von",1842-43,
25,"Beethoven,  Ludwig  van",1842-43,N
26,"Haydn,  Franz  Joseph",1842-43,N
27,"Mendelssohn,  Felix",1842-43,Y
28,"Beethoven,  Ludwig  van",1842-43,N
29,"Spohr,  Louis",1842-43,Y
30,"Weber,  Carl  Maria Von",1842-43,N
31,"Beethoven,  Ludwig  van",1843-44,N
32,"Nini,  Alessandro",1843-44,Y
33,"Mozart,  Wolfgang  Amadeus",1843-44,N
34,"Donizetti,  Gaetano",1843-44,Y
35,"Weber,  Carl  Maria Von",1843-44,N
36,"Mozart,  Wolfgang  Amadeus",1843-44,N
37,"Donizetti,  Gaetano",1843-44,Y
38,"Hummel,  Johann",1843-44,N
39,"Kalliwoda,  Johann  W.",1843-44,
40,"Bellini,  Vincenzo",1843-44,N
41,"Reicha,  Antoine(-Joseph)",1843-44,
42,"Herold,  Louis  Joseph Ferdinand [Hérold]",1843-44,N
43,"Spohr,  Louis",1843-44,Y
44,"Bochsa,  Robert  N. C.",1843-44,
45,"Rossini,  Gioachino",1843-44,Y
46,"Hummel,  Johann",1843-44,N
47,"Weber,  Carl  Maria Von",1843-44,N
48,"Beethoven,  Ludwig  van",1843-44,N
49,"Vieuxtemps,  Henri",1843-44,Y
50,"Mendelssohn,  Felix",1843-44,Y
51,"Donizetti,  Gaetano",1843-44,Y
52,"Weber,  Carl  Maria Von",1843-44,N
53,"Beethoven,  Ludwig  van",1844-45,N
54,"Donizetti,  Gaetano",1844-45,Y
55,"Mendelssohn,  Felix",1844-45,Y
56,"Donizetti,  Gaetano",1844-45,Y
57,"Donizetti,  Gaetano",1844-45,Y
58,"Lindpaintner,  Peter  Von",1844-45,
59,"Haydn,  Franz  Joseph",1844-45,N
60,"Weber,  Carl  Maria Von",1844-45,N
61,"Weber,  Carl  Maria Von",1844-45,N
